simple_surname,full_name
"Kelly", "Kelly, Frederick Septimus"
"Kelly", "Kelly, Thomas"
"Kendrick", "Kendrick, Graham"
"Kerll", "Kerll, Johann Caspar"
"Ketelbey", "Ketèlbey, Albert"
"Khachaturian", "Khachaturian, Aram"
"Khachaturian", "Khachaturian, Aram"
"Kiel", "Kiel, Friedrich"
"Kienzl", "Kienzl, Wilhelm"
"King", "King, Mia"
"Kirbye", "Kirbye, George"
"Kirchner", "Kirchner, Leon"
"Kirkpatrick", "Kirkpatrick, William J."
"Kirnberger", "Kirnberger, Johann Philipp"
"Kjerulf", "Kjerulf, Halfdan"
"Klami", "Klami, Uuno"
"Klenau", "Klenau, Paul von"
"Klengel", "Klengel, Julius"
"Klindworth", "Klindworth, Karl"
"Klughardt", "Klughardt, August"
"Knecht", "Knecht, Justin Heinrich"
"Koczwara", "Koczwara, František"
"Kodaly", "Kodály, Zoltán"
"Kodaly", "Kodály, Zoltán"
"Koechlin", "Koechlin, Charles"
"Koessler", "Koessler, Hans"
"Koetsier", "Koetsier, Jan"
"Kohn", "Kohn, Karl"
"Kokkonen", "Kokkonen, Joonas"
"Komitas", "Komitas, Vardapet"
"Komzak", "Komzák, Karel II"
"Kopylov", "Kopylov, Alexander"
"Korngold", "Korngold, Erich Wolfgang"
"Kozeluch", "Kozeluch, Leopold"
"Kraus", "Kraus, Joseph Martin"
"Krebs", "Krebs, Johann Ludwig"
"Kreisler", "Kreisler, Fritz"
"Kreisler", "Kreisler, Fritz"
"Krenek", "Krenek, Ernst"
"Kuhlau", "Kuhlau, Friedrich"
"Kuhnau", "Kuhnau, Johann"
"Kusser", "Kusser, Johann Sigismund"
"Kuula", "Kuula, Toivo"
"Kuyper", "Kuyper, Elisabeth"
"Lachner", "Lachner, Franz"
"Lacombe", "Lacombe, Louis"
"Lajtha", "Lajtha, László"
"Lalo", "Lalo, Édouard"
"Lalo", "Lalo, Édouard"
"Lambert", "Lambert, Constant"
"Lambert", "Lambert, Michel"
"Lambillotte", "Lambillotte, Louis"
"Landini", "Landini, Francesco"
"Lang", "Lang, Josephine"
"LangeMuller", "Lange-Müller, Peter"
"Langgaard", "Langgaard, Rued"
